bin,apartments,houses/land
50000,0,0
100000,0,0
150000,7,4
200000,52,12
250000,101,27
300000,332,55
350000,515,55
400000,722,91
450000,788,176
500000,766,280
550000,728,415
600000,525,504
650000,415,621
700000,272,496
750000,220,496
800000,134,442
850000,127,335
900000,92,287
950000,48,204
1000000,58,147
1050000,29,101
1100000,37,84
1150000,30,73
1200000,19,86
1250000,28,66
1300000,16,47
1350000,14,39
1400000,20,39
1450000,13,29
1500000,16,33
1550000,7,20
1600000,9,23
1650000,2,12
1700000,4,13
1750000,4,2
1800000,7,5
1850000,1,17
1900000,6,10
1950000,2,7
2000000,5,8
