date,Woden Valley,Weston Creek,Tuggeranong,South Canberra,North Canberra,Molonglo,Gungahlin,East Canberra,Belconnen,total,balance
3/08/2021,0,0,0,0,0,0,0,0,0,0,0
4/08/2021,0,0,0,0,0,0,0,0,0,0,0
5/08/2021,0,0,0,0,0,0,0,0,0,0,0
6/08/2021,0,0,0,0,0,0,0,0,0,0,0
7/08/2021,0,0,0,0,0,0,0,0,0,0,0
8/08/2021,0,0,0,0,0,0,0,0,0,0,0
9/08/2021,0,0,0,0,0,0,0,0,0,0,0
10/08/2021,0,0,0,0,0,0,0,0,0,0,0
11/08/2021,0,0,0,0,0,0,0,0,0,0,0
12/08/2021,0,0,0,0,3,0,3,0,0,6,0
13/08/2021,0,0,0,0,0,0,0,0,0,0,0
14/08/2021,0,1,0,0,0,0,1,0,1,3,0
15/08/2021,1,0,1,0,6,1,4,0,1,14,0
16/08/2021,1,0,1,2,4,0,3,0,7,18,0
17/08/2021,0,0,1,0,10,0,7,0,3,21,0
18/08/2021,0,0,2,0,6,1,1,0,4,14,0
19/08/2021,2,1,0,0,5,1,0,0,6,15,0
20/08/2021,0,0,0,2,1,2,2,0,6,13,0
21/08/2021,0,1,0,0,3,1,9,0,3,17,0
22/08/2021,2,0,3,0,3,1,4,0,3,16,0
23/08/2021,0,2,6,1,5,1,10,0,5,30,0
24/08/2021,0,0,0,0,0,0,5,0,4,9,0
25/08/2021,0,0,1,0,3,0,2,0,8,14,0
26/08/2021,1,0,1,1,6,8,10,0,4,31,0
27/08/2021,0,0,2,0,2,0,7,0,5,16,0
28/08/2021,0,0,0,0,3,0,7,0,2,12,0
29/08/2021,0,0,3,0,7,0,2,0,0,12,0
30/08/2021,3,1,0,0,6,0,3,0,1,14,0
31/08/2021,1,0,3,0,4,1,12,0,1,22,0
1/09/2021,2,0,1,0,2,2,4,0,1,12,0
2/09/2021,2,0,0,1,6,1,1,0,7,18,0
3/09/2021,3,1,7,0,10,0,8,0,6,36,1
4/09/2021,1,1,4,1,1,1,4,0,1,14,0
5/09/2021,0,0,1,0,1,1,4,1,1,9,0
6/09/2021,1,0,2,0,5,2,4,0,4,18,0
7/09/2021,0,0,2,0,6,0,9,0,7,24,0
8/09/2021,2,0,0,0,2,0,1,0,6,11,0
9/09/2021,0,0,3,1,2,0,10,0,8,24,0
10/09/2021,1,0,3,0,0,0,2,0,9,15,0
11/09/2021,0,0,7,0,5,0,5,1,1,19,0
12/09/2021,2,0,1,0,7,0,4,0,1,15,0
13/09/2021,2,0,0,0,5,0,8,0,3,18,0
14/09/2021,0,0,1,0,2,0,5,0,4,12,0
15/09/2021,0,0,3,1,1,0,5,0,4,14,0
16/09/2021,0,0,8,2,5,1,9,0,5,30,0
17/09/2021,1,0,4,1,4,0,2,0,5,17,0
18/09/2021,1,1,5,0,1,5,2,1,1,17,0
19/09/2021,0,0,1,0,1,0,1,0,3,6,0
20/09/2021,0,1,11,0,4,0,2,0,2,20,0
21/09/2021,1,0,3,0,2,0,3,0,5,14,0
22/09/2021,0,2,5,0,4,0,0,0,3,14,0
23/09/2021,2,0,6,0,1,1,5,1,3,19,0
24/09/2021,1,4,6,0,2,1,6,0,12,32,0
25/09/2021,1,2,3,6,2,1,7,0,3,25,0
26/09/2021,0,2,1,2,2,0,3,,10,21,1
27/09/2021,0,4,1,0,5,0,1,,0,11,0
28/09/2021,0,3,6,2,3,1,2,,9,28,2
29/09/2021,2,1,11,1,3,0,3,,8,29,0
30/09/2021,0,0,14,5,5,2,3,,16,47,2
1/10/2021,4,3,9,8,5,1,6,,14,52,2
2/10/2021,3,0,12,2,6,0,3,,11,38,1
3/10/2021,0,1,8,0,5,2,4,,8,28,0
4/10/2021,8,1,9,2,0,4,6,,5,35,0
5/10/2021,0,0,8,1,6,0,5,,5,26,1
6/10/2021,4,1,12,3,2,0,11,,12,46,1
7/10/2021,0,1,16,2,6,0,9,,2,36,0
8/10/2021,2,0,7,1,3,0,5,,8,26,0
9/10/2021,2,2,12,0,0,0,8,,4,28,0
10/10/2021,1,0,6,2,1,0,14,,8,32,0
11/10/2021,4,0,13,0,2,0,4,,3,28,2
12/10/2021,2,2,16,2,7,0,14,,7,51,1
13/10/2021,4,2,15,0,1,1,12,,14,50,1
14/10/2021,4,2,1,3,3,2,9,,9,34,1
15/10/2021,2,0,8,0,1,0,3,,3,18,1
16/10/2021,0,3,9,1,2,1,15,,2,33,0
17/10/2021,1,0,3,2,5,1,3,,2,17,0
18/10/2021,0,1,8,1,2,1,8,,3,24,0
19/10/2021,0,5,6,1,4,0,2,,2,25,5
20/10/2021,0,5,2,2,6,0,9,,3,27,0
21/10/2021,0,0,5,1,0,1,5,,0,13,1
22/10/2021,2,,4,,3,0,3,,6,23,5
23/10/2021,0,,2,,2,0,5,,0,9,0
24/10/2021,2,,2,,2,0,2,,1,9,0
25/10/2021,1,,0,,4,0,3,,4,12,0
26/10/2021,0,,3,,0,0,1,,5,10,1
27/10/2021,0,,2,,,0,3,,1,9,3
28/10/2021,0,,1,,,,2,,3,13,7
29/10/2021,0,,0,,,,2,,,5,3
30/10/2021,0,,4,,,,,,,7,3
31/10/2021,0,,2,,,,,,,6,4
1/11/2021,0,,6,,,,,,,7,1
2/11/2021,2,,13,,,,,,,15,0
3/11/2021,0,,11,,,,,,,13,2
4/11/2021,,,3,,,,,,,6,3
5/11/2021,,,15,,,,,,,18,3
6/11/2021,,,9,,,,,,,13,4
7/11/2021,,,,,,,,,,,
8/11/2021,,,,,,,,,,,
