site,street,suburb,state,date,arrival,departure,contact,lng,lat,geometry,time
Stockade Training Centre,7 Kembla Street,Fyshwick,ACT,2021-08-09,15:45:00,17:30:00,casual,149.1779729,-35.325788,POINT (149.1779729 -35.325788),1.0
The Civic Pub,8 Lonsdale Street,Braddon,ACT,2021-08-09,15:45:00,21:45:00,close,149.1327273,-35.2749938,POINT (149.1327273 -35.2749938),6.0
UCSSC Lake Ginninderra (Entire Campus excluding Gymnasium and Cafeteria/Canteen area. Refer to Close Contact entry if you attended Gymnasium and Cafeteria/Canteen area),2 Emu Bank,Belconnen,ACT,2021-08-09,10:00:00,13:30:00,monitor,149.073685,-35.2386423,POINT (149.073685 -35.2386423),3.0
UCSSC Lake Ginninderra (Gymnasium and Cafeteria/Canteen area),2 Emu Bank,Belconnen,ACT,2021-08-09,10:00:00,13:30:00,close,149.073685,-35.2386423,POINT (149.073685 -35.2386423),3.0
Woolworths Dickson,1 Dickson Place,Dickson,ACT,2021-08-09,15:00:00,16:00:00,casual,149.1386251,-35.249974,POINT (149.1386251 -35.249974),1.0
Assembly The People’s Pub,11 Lonsdale Street,Braddon,ACT,2021-08-10,19:30:00,22:15:00,close,149.1322968,-35.2743976,POINT (149.1322968 -35.2743976),2.0
"Basketball ACT, Basketball & Sports Centre",42 Oatley Court,Belconnen,ACT,2021-08-10,12:00:00,15:00:00,casual,149.0575179,-35.2420057,POINT (149.0575179 -35.2420057),3.0
"Basketball ACT, Basketball & Sports Centre",42 Oatley Court,Belconnen,ACT,2021-08-10,17:50:00,19:30:00,casual,149.0575179,-35.2420057,POINT (149.0575179 -35.2420057),1.0
Big W Gungahlin,Gozzard Street,Gungahlin,ACT,2021-08-10,15:45:00,16:30:00,casual,149.1337113,-35.1860535,POINT (149.1337113 -35.1860535),0.0
Bing Lee Belconnen,10-12 Cohen Street,Belconnen,ACT,2021-08-10,12:50:00,13:15:00,casual,149.059827,-35.240317,POINT (149.059827 -35.240317),0.0
Capital Chemist Lyneham,76 Wattle Street,Lyneham,ACT,2021-08-10,14:45:00,15:50:00,close,149.1250304,-35.25246509999999,POINT (149.1250304 -35.25246509999999),1.0
Casey Market Town,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-10,15:50:00,16:20:00,monitor,149.0959449,-35.17447,POINT (149.0959449 -35.17447),0.0
Chapman Primary After School Care Building,46-50 Perry Drive,Chapman,ACT,2021-08-10,14:30:00,18:00:00,close,149.0430219,-35.3563115,POINT (149.0430219 -35.3563115),3.0
CIT Bruce Campus (Building H only),1 Jack Fleming Place,Bruce,ACT,2021-08-10,08:45:00,16:30:00,close,149.0957403,-35.2478381,POINT (149.0957403 -35.2478381),7.0
"CIT Bruce Campus (Entire Campus, refer to Close Contacts entry if attended Building H)",35 Vowels Crescent,Bruce,ACT,2021-08-10,08:45:00,16:30:00,monitor,149.0946633,-35.2481112,POINT (149.0946633 -35.2481112),7.0
"CIT Bruce Campus (Psych Accredited Class, Room G102)",35 Vowels Crescent,Bruce,ACT,2021-08-10,18:00:00,20:00:00,close,149.0946633,-35.2481112,POINT (149.0946633 -35.2481112),2.0
Civic Square Post Office,"Shop G14-16, Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-10,09:30:00,09:50:00,casual,149.1338806,-35.2805531,POINT (149.1338806 -35.2805531),0.0
Club Lime - CISAC (gym only),100 Eastern Valley Way,Bruce,ACT,2021-08-10,18:30:00,21:15:00,close,149.0749404,-35.2419481,POINT (149.0749404 -35.2419481),2.0
Coco Republic Construction Site,148 Bunda Street,Canberra City,ACT,2021-08-10,09:30:00,17:30:00,close,149.1332387,-35.2802938,POINT (149.1332387 -35.2802938),8.0
Coffee Guru Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-10,12:00:00,13:00:00,close,149.133323,-35.2802191,POINT (149.133323 -35.2802191),1.0
David Jones Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-10,17:15:00,18:00:00,casual,149.13291,-35.2797865,POINT (149.13291 -35.2797865),0.0
"Engineering House, Tenancy 7/8, level 2",11 National Circuit,Barton,ACT,2021-08-10,07:00:00,16:00:00,close,149.1330593,-35.3083525,POINT (149.1330593 -35.3083525),9.0
F45 Training,10 National Circuit,Barton,ACT,2021-08-10,05:00:00,08:00:00,close,149.1339174,-35.3085945,POINT (149.1339174 -35.3085945),3.0
First Choice Liquor Braddon,48 Mort Street,Braddon,ACT,2021-08-10,16:25:00,16:45:00,casual,149.1319444,-35.2716667,POINT (149.1319444 -35.2716667),0.0
Gold Creek School (including early childhood learning),Kelleway Avenue,Nicholls,ACT,2021-08-10,08:00:00,15:10:00,close,149.0941286,-35.1799885,POINT (149.0941286 -35.1799885),7.0
Grand Central Towers,15 Bowes Street,Phillip,ACT,2021-08-10,18:00:00,21:00:00,monitor,149.0869074,-35.343881,POINT (149.0869074 -35.343881),3.0
Guzman y Gomez Canberra Centre,148 Bunda Street,Canberra City,ACT,2021-08-10,17:45:00,18:45:00,close,149.1331753,-35.2786183,POINT (149.1331753 -35.2786183),1.0
Harvey Norman Fyshwick,Barrier Street,Fyshwick,ACT,2021-08-10,10:00:00,11:00:00,close,149.1659681,-35.3260397,POINT (149.1659681 -35.3260397),1.0
Holy Sprit Catholic Primary School (including Early Childhood Learning Centre),26 Kelleway Avenue,Nicholls,ACT,2021-08-10,08:00:00,15:10:00,casual,149.1011436,-35.180284,POINT (149.1011436 -35.180284),7.0
Kmart Gungahlin,"Marketplace Gungahlin, 30 and 33 Hibberson Street",Gungahlin,ACT,2021-08-10,15:00:00,16:00:00,casual,149.1331888,-35.1848509,POINT (149.1331888 -35.1848509),1.0
LDK Greenway Views,260 Soward Way,Greenway,ACT,2021-08-10,15:30:00,23:59:00,close,149.0632525,-35.4197317,POINT (149.0632525 -35.4197317),8.0
Lennock Jaguar Land Rover,126 Melrose Drive,Phillip,ACT,2021-08-10,08:30:00,17:30:00,close,149.0891491,-35.356842,POINT (149.0891491 -35.356842),9.0
Lyneham High School,Goodwin Street,Lyneham,ACT,2021-08-10,08:30:00,15:30:00,close,149.130518,-35.2524674,POINT (149.130518 -35.2524674),7.0
Metropol City,81 Cooyong Street,Canberra City,ACT,2021-08-10,13:30:00,22:00:00,casual,149.136232,-35.2798731,POINT (149.136232 -35.2798731),8.0
Pellegrino’s Café,7/49 Wollongong Street,Fyshwick,ACT,2021-08-10,07:15:00,08:15:00,close,149.1794654,-35.3247984,POINT (149.1794654 -35.3247984),1.0
Seears Workwear,60 Barrier Street,Fyshwick,ACT,2021-08-10,16:00:00,16:15:00,casual,149.1739102,-35.3292705,POINT (149.1739102 -35.3292705),0.0
St Vincent de Paul,32 Buckland Street,Mitchell,ACT,2021-08-10,15:30:00,16:00:00,close,149.1391296,-35.21691130000001,POINT (149.1391296 -35.21691130000001),0.0
Stockade Training Centre,7 Kembla Street,Fyshwick,ACT,2021-08-10,09:00:00,11:00:00,close,149.1779729,-35.325788,POINT (149.1779729 -35.325788),2.0
Subsdance Dance Studio,1/27-29 Eyre Street,Kingston,ACT,2021-08-10,18:00:00,20:00:00,close,149.1416681,-35.3163164,POINT (149.1416681 -35.3163164),2.0
Subway Barton,48 Macquarie Street,Barton,ACT,2021-08-10,10:50:00,11:20:00,casual,149.1358817,-35.3061111,POINT (149.1358817 -35.3061111),0.0
SUPABARN Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-10,16:00:00,16:10:00,casual,149.0960254,-35.1741413,POINT (149.0960254 -35.1741413),0.0
Sushi Island,15/22 Kingsland Parade,Casey,ACT,2021-08-10,16:00:00,16:15:00,casual,149.0956353,-35.1744274,POINT (149.0956353 -35.1744274),0.0
"Telstra Canberra Head Office (Reception, Level 1 and Level 5)",16-18 Mort Street,Braddon,ACT,2021-08-10,08:00:00,10:00:00,monitor,149.1331556,-35.2801975,POINT (149.1331556 -35.2801975),2.0
Urban Pantry,5 Bougainville Street,Griffith,ACT,2021-08-10,10:30:00,13:00:00,close,149.13243,-35.32076199999999,POINT (149.13243 -35.32076199999999),2.0
Westfield Belconnen - bus stop entrance,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-08-10,07:45:00,08:45:00,monitor,149.0650422,-35.2380765,POINT (149.0650422 -35.2380765),1.0
Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,ACT,2021-08-10,11:00:00,11:15:00,monitor,149.0201727,-35.2228703,POINT (149.0201727 -35.2228703),0.0
Woolworths Phillip,"Westfield Woden, Hindmarsh Drive & Melrose Drive",Phillip,ACT,2021-08-10,17:30:00,18:30:00,monitor,149.084734,-35.345964,POINT (149.084734 -35.345964),1.0
7-Eleven Braddon,20 Mort Street,Braddon,ACT,2021-08-11,17:00:00,17:15:00,monitor,149.1316658,-35.275691,POINT (149.1316658 -35.275691),0.0
"Abode Kingston (Floors 1, 2 and 3)",14 Kennedy Street,Kingston,ACT,2021-08-11,07:50:00,23:59:00,casual,149.14108,-35.31713,POINT (149.14108 -35.31713),16.0
Abode Kingston (Ground Floor only),14 Kennedy Street,Kingston,ACT,2021-08-11,07:50:00,19:00:00,monitor,149.14108,-35.31713,POINT (149.14108 -35.31713),11.0
Ampol Petrol Station,289 Canberra Avenue,Fyshwick,ACT,2021-08-11,13:10:00,13:30:00,casual,149.1699433,-35.334177,POINT (149.1699433 -35.334177),0.0
Australia Post Woden,Shop 4/15 Bowes Place,Phillip,ACT,2021-08-11,11:00:00,12:00:00,casual,149.0856959,-35.3443954,POINT (149.0856959 -35.3443954),1.0
Australian Maritime Safety Authority Head Office,82 Northbourne Avenue,Braddon,ACT,2021-08-11,08:45:00,13:30:00,close,149.130682,-35.2744863,POINT (149.130682 -35.2744863),4.0
"Basketball ACT, Basketball & Sports Centre",42 Oatley Court,Belconnen,ACT,2021-08-11,06:40:00,21:00:00,casual,149.0575179,-35.2420057,POINT (149.0575179 -35.2420057),14.0
Bunnings Tuggeranong,Anketell Street,Greenway,ACT,2021-08-11,10:15:00,10:50:00,monitor,149.0711101,-35.4218444,POINT (149.0711101 -35.4218444),0.0
Café Mame,2/4-6 Melba Circuit,Melba,ACT,2021-08-11,08:50:00,09:15:00,casual,149.0485658,-35.2082908,POINT (149.0485658 -35.2082908),0.0
Capital Chemist Kingston,62 Jardine Street,Kingston,ACT,2021-08-11,12:00:00,12:15:00,close,149.1415931,-35.3159461,POINT (149.1415931 -35.3159461),0.0
Chapman Primary After School Care Building,46-50 Perry Drive,Chapman,ACT,2021-08-11,14:30:00,18:00:00,close,149.0430219,-35.3563115,POINT (149.0430219 -35.3563115),3.0
CIT Bruce Campus (Building H only),1 Jack Fleming Place,Bruce,ACT,2021-08-11,12:30:00,16:40:00,close,149.0957403,-35.2478381,POINT (149.0957403 -35.2478381),4.0
"CIT Bruce Campus (Entire Campus, refer to Close Contacts entry if attended Building H)",35 Vowels Crescent,Bruce,ACT,2021-08-11,12:30:00,22:30:00,monitor,149.0946633,-35.2481112,POINT (149.0946633 -35.2481112),10.0
CIT Reid Campus (Entire campus),37 Constitution Avenue,Reid,ACT,2021-08-11,08:45:00,15:00:00,close,149.1374298,-35.2864723,POINT (149.1374298 -35.2864723),6.0
Club Lime - CISAC (gym only),100 Eastern Valley Way,Bruce,ACT,2021-08-11,16:45:00,19:15:00,close,149.0749404,-35.2419481,POINT (149.0749404 -35.2419481),2.0
Club Lime Gungahlin,43 Hibberson Street,Gungahlin,ACT,2021-08-11,05:00:00,06:30:00,close,149.1360241,-35.1854156,POINT (149.1360241 -35.1854156),1.0
Coco Republic Construction Site,148 Bunda Street,Canberra City,ACT,2021-08-11,13:30:00,17:00:00,close,149.1332387,-35.2802938,POINT (149.1332387 -35.2802938),3.0
Coles Manuka,"Manuka Terrace, Franklin Street and Flinders Way",Griffith,ACT,2021-08-11,12:15:00,12:40:00,close,149.1341667,-35.3208333,POINT (149.1341667 -35.3208333),0.0
Coles Manuka,"Manuka Terrace, Franklin Street and Flinders Way",Griffith,ACT,2021-08-11,18:00:00,18:45:00,casual,149.1341667,-35.3208333,POINT (149.1341667 -35.3208333),0.0
Companion House,41 Templeton Street,Cook,ACT,2021-08-11,11:30:00,11:45:00,close,149.0615234,-35.2590484,POINT (149.0615234 -35.2590484),0.0
"Construction Site, Levels - Ground, 1 and 2",12 Moore Street,Canberra City,ACT,2021-08-11,06:30:00,08:50:00,casual,149.128529,-35.276753,POINT (149.128529 -35.276753),2.0
Elite Supplements,13 Keltie Street,Phillip,ACT,2021-08-11,11:15:00,12:15:00,casual,149.0866406,-35.3464688,POINT (149.0866406 -35.3464688),1.0
EQ Bakehouse,70 Kent Street,Deakin,ACT,2021-08-11,07:00:00,16:00:00,casual,149.0973981,-35.3204751,POINT (149.0973981 -35.3204751),9.0
EQ Café and Lounge,70 Kent Street,Deakin,ACT,2021-08-11,06:30:00,16:00:00,casual,149.0973981,-35.3204751,POINT (149.0973981 -35.3204751),9.0
F45 Training,10 National Circuit,Barton,ACT,2021-08-11,05:00:00,08:00:00,close,149.1339174,-35.3085945,POINT (149.1339174 -35.3085945),3.0
Flatheads Takeaway,Macpherson Street & Bluebell Street,O'Connor,ACT,2021-08-11,12:15:00,12:30:00,casual,149.12196,-35.263998,POINT (149.12196 -35.263998),0.0
Gelato Messina Kingston,38 Eyre Street,Kingston,ACT,2021-08-11,20:00:00,20:40:00,close,149.1424717,-35.3165027,POINT (149.1424717 -35.3165027),0.0
GGs Flowers & Hampers,"Unit 3D, Farrer Shops",Farrer,ACT,2021-08-11,12:15:00,14:00:00,close,149.1013801,-35.3754197,POINT (149.1013801 -35.3754197),1.0
Gold Creek School (including early childhood learning),Kelleway Avenue,Nicholls,ACT,2021-08-11,08:00:00,17:00:00,close,149.0941286,-35.1799885,POINT (149.0941286 -35.1799885),9.0
Goodstart Early Learning Turner,12 Watson Street,Turner,ACT,2021-08-11,10:20:00,10:40:00,close,149.1263036,-35.2739676,POINT (149.1263036 -35.2739676),0.0
Goodstart Early Learning Turner,12 Watson Street,Turner,ACT,2021-08-11,17:00:00,17:30:00,close,149.1263036,-35.2739676,POINT (149.1263036 -35.2739676),0.0
Gungaderra Homestead- Girl Guides Meeting,Gungaderra Homestead,Harrison,ACT,2021-08-11,19:25:00,20:45:00,close,149.1542503,-35.1935019,POINT (149.1542503 -35.1935019),1.0
Gunners Place – Youth Centre,20 Hibberson Street,Gungahlin,ACT,2021-08-11,13:30:00,14:30:00,close,149.133036,-35.1852318,POINT (149.133036 -35.1852318),1.0
Harrison Playing Fields- Harrison 101,Katoomba Street,Harrison,ACT,2021-08-11,17:45:00,19:45:00,monitor,149.1544865,-35.1994157,POINT (149.1544865 -35.1994157),2.0
Harrison School,20 Wimmera Street,Harrison,ACT,2021-08-11,08:30:00,15:30:00,close,149.1522772,-35.1996408,POINT (149.1522772 -35.1996408),7.0
Holy Sprit Catholic Primary School (including Early Childhood Learning Centre),26 Kelleway Avenue,Nicholls,ACT,2021-08-11,08:00:00,17:00:00,casual,149.1011436,-35.180284,POINT (149.1011436 -35.180284),9.0
