suburb,year,address,bedrooms,contract date,price,block size,source,purpose
Acton,2019,28/1 Gordon Street *,2,11/07/2019,"$630,000",0m2,Allhomes Record,–
Acton,2020,1204/19 Marcus Clarke Street *,2,30/06/2020,"$880,000",0m2,Allhomes Record,–
Acton,2020,G04/19 Marcus Clarke Street *,1,02/12/2020,"$557,000",0m2,Allhomes Record,–
